,alpha,deadline,efficiency,epsilon,gamma,penalty_per_step,success
0,0.75,,0.432930953333,0.8,0.75,0.224839028465,0.8875
1,0.75,,0.682443893443,0.8,0.5,0.108340510765,0.965
2,0.75,,0.873950032386,0.8,0.25,0.0303697122013,0.9925
3,0.75,,0.991326619974,0.8,0.125,0.00859479605971,0.9825
4,0.75,,0.99675022678,0.8,0.0,0.0089027587138,0.98
5,0.5,,0.448379953597,0.8,0.75,0.183606761362,0.9175
6,0.5,,0.591077027633,0.8,0.5,0.107685869544,0.9575
7,0.5,,0.89267605837,0.8,0.25,0.0309004118339,0.9925
8,0.5,,0.984810133733,0.8,0.125,0.0108681397415,0.98
9,0.5,,1.00621259176,0.8,0.0,0.0120599006024,0.9775
10,0.25,,0.445942413906,0.8,0.75,0.14612716863,0.94
11,0.25,,0.494459253496,0.8,0.5,0.131490187826,0.9375
12,0.25,,0.907845545973,0.8,0.25,0.0258924016651,0.995
13,0.25,,0.997411666195,0.8,0.125,0.00752524577769,0.975
14,0.25,,1.00835815078,0.8,0.0,0.00967629853917,0.9625
15,0.125,,0.438640001241,0.8,0.75,0.150923187382,0.93
16,0.125,,0.459956466254,0.8,0.5,0.139393536548,0.945
17,0.125,,0.932437041448,0.8,0.25,0.0242484088791,0.9875
18,0.125,,0.997596271404,0.8,0.125,0.0111394641276,0.9775
19,0.125,,0.99074787736,0.8,0.0,0.0104665837089,0.9725
